"Educational level","Age","Year","Fathers' age"
"Educational level unknown","All age groups","2019",313
"Educational level unknown","All age groups","2020",337
"Educational level unknown","All age groups","2021",331
"Educational level unknown","All age groups","2022",307
"Educational level unknown","All age groups","2023",293
"Educational level unknown","All age groups","2024",247
"Educational level unknown","10-14","1992",0
"Educational level unknown","10-14","1993",0
"Educational level unknown","10-14","1994",0
"Educational level unknown","10-14","1995",0
"Educational level unknown","10-14","1996",0
"Educational level unknown","10-14","1997",0
"Educational level unknown","10-14","1998",0
"Educational level unknown","10-14","1999",0
"Educational level unknown","10-14","2000",0
"Educational level unknown","10-14","2001",0
"Educational level unknown","10-14","2002",0
"Educational level unknown","10-14","2003",0
"Educational level unknown","10-14","2004",0
"Educational level unknown","10-14","2005",0
"Educational level unknown","10-14","2006",0
"Educational level unknown","10-14","2007",0
"Educational level unknown","10-14","2008",0
"Educational level unknown","10-14","2009",0
"Educational level unknown","10-14","2010",0
"Educational level unknown","10-14","2011",0
"Educational level unknown","10-14","2012",0
"Educational level unknown","10-14","2013",0
"Educational level unknown","10-14","2014",0
"Educational level unknown","10-14","2015",0
"Educational level unknown","10-14","2016",0
"Educational level unknown","10-14","2017",0
"Educational level unknown","10-14","2018",0
"Educational level unknown","10-14","2019",0
"Educational level unknown","10-14","2020",0
"Educational level unknown","10-14","2021",0
"Educational level unknown","10-14","2022",0
"Educational level unknown","10-14","2023",0
"Educational level unknown","10-14","2024",0
"Educational level unknown","15-19","1992",5
"Educational level unknown","15-19","1993",11
"Educational level unknown","15-19","1994",5
"Educational level unknown","15-19","1995",8
"Educational level unknown","15-19","1996",7
"Educational level unknown","15-19","1997",21
"Educational level unknown","15-19","1998",10
"Educational level unknown","15-19","1999",10
"Educational level unknown","15-19","2000",6
"Educational level unknown","15-19","2001",4
"Educational level unknown","15-19","2002",4
"Educational level unknown","15-19","2003",6
"Educational level unknown","15-19","2004",0
"Educational level unknown","15-19","2005",4
"Educational level unknown","15-19","2006",1
"Educational level unknown","15-19","2007",2
"Educational level unknown","15-19","2008",2
"Educational level unknown","15-19","2009",1
"Educational level unknown","15-19","2010",0
"Educational level unknown","15-19","2011",0
"Educational level unknown","15-19","2012",0
"Educational level unknown","15-19","2013",0
"Educational level unknown","15-19","2014",0
"Educational level unknown","15-19","2015",0
"Educational level unknown","15-19","2016",1
"Educational level unknown","15-19","2017",0
"Educational level unknown","15-19","2018",0
"Educational level unknown","15-19","2019",0
"Educational level unknown","15-19","2020",1
"Educational level unknown","15-19","2021",0
"Educational level unknown","15-19","2022",0
"Educational level unknown","15-19","2023",0
"Educational level unknown","15-19","2024",0
"Educational level unknown","20-24","1992",52
"Educational level unknown","20-24","1993",88
"Educational level unknown","20-24","1994",44
"Educational level unknown","20-24","1995",40
"Educational level unknown","20-24","1996",54
"Educational level unknown","20-24","1997",75
"Educational level unknown","20-24","1998",89
"Educational level unknown","20-24","1999",51
"Educational level unknown","20-24","2000",32
"Educational level unknown","20-24","2001",47
"Educational level unknown","20-24","2002",21
"Educational level unknown","20-24","2003",39
"Educational level unknown","20-24","2004",16
"Educational level unknown","20-24","2005",22
"Educational level unknown","20-24","2006",16
"Educational level unknown","20-24","2007",9
"Educational level unknown","20-24","2008",10
"Educational level unknown","20-24","2009",6
"Educational level unknown","20-24","2010",4
"Educational level unknown","20-24","2011",5
"Educational level unknown","20-24","2012",2
"Educational level unknown","20-24","2013",6
"Educational level unknown","20-24","2014",2
"Educational level unknown","20-24","2015",2
"Educational level unknown","20-24","2016",1
"Educational level unknown","20-24","2017",6
"Educational level unknown","20-24","2018",0
"Educational level unknown","20-24","2019",0
"Educational level unknown","20-24","2020",4
"Educational level unknown","20-24","2021",6
"Educational level unknown","20-24","2022",1
"Educational level unknown","20-24","2023",2
"Educational level unknown","20-24","2024",2
"Educational level unknown","25-29","1992",43
"Educational level unknown","25-29","1993",65
"Educational level unknown","25-29","1994",42
"Educational level unknown","25-29","1995",54
"Educational level unknown","25-29","1996",56
"Educational level unknown","25-29","1997",91
"Educational level unknown","25-29","1998",105
"Educational level unknown","25-29","1999",54
"Educational level unknown","25-29","2000",46
"Educational level unknown","25-29","2001",47
"Educational level unknown","25-29","2002",52
"Educational level unknown","25-29","2003",76
"Educational level unknown","25-29","2004",12
"Educational level unknown","25-29","2005",27
"Educational level unknown","25-29","2006",16
"Educational level unknown","25-29","2007",11
"Educational level unknown","25-29","2008",5
"Educational level unknown","25-29","2009",5
"Educational level unknown","25-29","2010",8
"Educational level unknown","25-29","2011",3
"Educational level unknown","25-29","2012",7
"Educational level unknown","25-29","2013",12
"Educational level unknown","25-29","2014",4
"Educational level unknown","25-29","2015",2
"Educational level unknown","25-29","2016",6
"Educational level unknown","25-29","2017",1
"Educational level unknown","25-29","2018",3
"Educational level unknown","25-29","2019",1
"Educational level unknown","25-29","2020",5
"Educational level unknown","25-29","2021",8
"Educational level unknown","25-29","2022",3
"Educational level unknown","25-29","2023",2
"Educational level unknown","25-29","2024",3
"Educational level unknown","30-34","1992",25
"Educational level unknown","30-34","1993",38
"Educational level unknown","30-34","1994",18
"Educational level unknown","30-34","1995",29
"Educational level unknown","30-34","1996",29
"Educational level unknown","30-34","1997",64
"Educational level unknown","30-34","1998",67
"Educational level unknown","30-34","1999",50
"Educational level unknown","30-34","2000",32
"Educational level unknown","30-34","2001",36
"Educational level unknown","30-34","2002",26
"Educational level unknown","30-34","2003",68
"Educational level unknown","30-34","2004",13
"Educational level unknown","30-34","2005",25
"Educational level unknown","30-34","2006",6
"Educational level unknown","30-34","2007",8
"Educational level unknown","30-34","2008",11
"Educational level unknown","30-34","2009",11
"Educational level unknown","30-34","2010",6
"Educational level unknown","30-34","2011",8
"Educational level unknown","30-34","2012",5
"Educational level unknown","30-34","2013",7
"Educational level unknown","30-34","2014",4
"Educational level unknown","30-34","2015",2
"Educational level unknown","30-34","2016",2
"Educational level unknown","30-34","2017",4
"Educational level unknown","30-34","2018",3
"Educational level unknown","30-34","2019",2
"Educational level unknown","30-34","2020",16
"Educational level unknown","30-34","2021",9
"Educational level unknown","30-34","2022",9
"Educational level unknown","30-34","2023",5
"Educational level unknown","30-34","2024",11
"Educational level unknown","35-39","1992",12
"Educational level unknown","35-39","1993",25
"Educational level unknown","35-39","1994",10
"Educational level unknown","35-39","1995",15
"Educational level unknown","35-39","1996",17
"Educational level unknown","35-39","1997",36
"Educational level unknown","35-39","1998",45
"Educational level unknown","35-39","1999",18
"Educational level unknown","35-39","2000",13
"Educational level unknown","35-39","2001",14
"Educational level unknown","35-39","2002",19
"Educational level unknown","35-39","2003",33
"Educational level unknown","35-39","2004",11
"Educational level unknown","35-39","2005",18
"Educational level unknown","35-39","2006",9
"Educational level unknown","35-39","2007",9
"Educational level unknown","35-39","2008",10
"Educational level unknown","35-39","2009",5
"Educational level unknown","35-39","2010",5
"Educational level unknown","35-39","2011",2
"Educational level unknown","35-39","2012",1
"Educational level unknown","35-39","2013",5
"Educational level unknown","35-39","2014",3
"Educational level unknown","35-39","2015",2
"Educational level unknown","35-39","2016",1
"Educational level unknown","35-39","2017",2
"Educational level unknown","35-39","2018",2
"Educational level unknown","35-39","2019",0
"Educational level unknown","35-39","2020",9
"Educational level unknown","35-39","2021",10
"Educational level unknown","35-39","2022",4
"Educational level unknown","35-39","2023",1
"Educational level unknown","35-39","2024",9
"Educational level unknown","40-44","1992",3
"Educational level unknown","40-44","1993",8
"Educational level unknown","40-44","1994",5
"Educational level unknown","40-44","1995",7
"Educational level unknown","40-44","1996",5
"Educational level unknown","40-44","1997",13
"Educational level unknown","40-44","1998",16
"Educational level unknown","40-44","1999",18
"Educational level unknown","40-44","2000",11
"Educational level unknown","40-44","2001",14
"Educational level unknown","40-44","2002",5
"Educational level unknown","40-44","2003",23
"Educational level unknown","40-44","2004",6
"Educational level unknown","40-44","2005",3
"Educational level unknown","40-44","2006",5
"Educational level unknown","40-44","2007",2
"Educational level unknown","40-44","2008",2
"Educational level unknown","40-44","2009",3
"Educational level unknown","40-44","2010",4
"Educational level unknown","40-44","2011",2
"Educational level unknown","40-44","2012",3
"Educational level unknown","40-44","2013",1
"Educational level unknown","40-44","2014",3
"Educational level unknown","40-44","2015",0
"Educational level unknown","40-44","2016",2
"Educational level unknown","40-44","2017",2
"Educational level unknown","40-44","2018",1
"Educational level unknown","40-44","2019",0
"Educational level unknown","40-44","2020",2
"Educational level unknown","40-44","2021",6
"Educational level unknown","40-44","2022",1
"Educational level unknown","40-44","2023",3
"Educational level unknown","40-44","2024",5
"Educational level unknown","45-49","1992",1
"Educational level unknown","45-49","1993",3
"Educational level unknown","45-49","1994",1
"Educational level unknown","45-49","1995",2
"Educational level unknown","45-49","1996",4
"Educational level unknown","45-49","1997",6
"Educational level unknown","45-49","1998",10
"Educational level unknown","45-49","1999",10
"Educational level unknown","45-49","2000",1
"Educational level unknown","45-49","2001",5
"Educational level unknown","45-49","2002",5
"Educational level unknown","45-49","2003",8
"Educational level unknown","45-49","2004",1
"Educational level unknown","45-49","2005",4
"Educational level unknown","45-49","2006",2
"Educational level unknown","45-49","2007",0
"Educational level unknown","45-49","2008",0
"Educational level unknown","45-49","2009",4
"Educational level unknown","45-49","2010",0
"Educational level unknown","45-49","2011",1
"Educational level unknown","45-49","2012",2
"Educational level unknown","45-49","2013",1
"Educational level unknown","45-49","2014",2
"Educational level unknown","45-49","2015",2
"Educational level unknown","45-49","2016",1
"Educational level unknown","45-49","2017",2
"Educational level unknown","45-49","2018",1
"Educational level unknown","45-49","2019",0
"Educational level unknown","45-49","2020",2
"Educational level unknown","45-49","2021",4
"Educational level unknown","45-49","2022",1
"Educational level unknown","45-49","2023",1
"Educational level unknown","45-49","2024",0
"Educational level unknown","50-54","1992",0
"Educational level unknown","50-54","1993",0
"Educational level unknown","50-54","1994",0
"Educational level unknown","50-54","1995",0
"Educational level unknown","50-54","1996",0
"Educational level unknown","50-54","1997",3
"Educational level unknown","50-54","1998",4
"Educational level unknown","50-54","1999",1
"Educational level unknown","50-54","2000",2
"Educational level unknown","50-54","2001",4
"Educational level unknown","50-54","2002",4
"Educational level unknown","50-54","2003",1
"Educational level unknown","50-54","2004",0
"Educational level unknown","50-54","2005",2
"Educational level unknown","50-54","2006",1
"Educational level unknown","50-54","2007",1
"Educational level unknown","50-54","2008",0
"Educational level unknown","50-54","2009",1
"Educational level unknown","50-54","2010",1
"Educational level unknown","50-54","2011",0
"Educational level unknown","50-54","2012",0
"Educational level unknown","50-54","2013",0
"Educational level unknown","50-54","2014",1
"Educational level unknown","50-54","2015",0
"Educational level unknown","50-54","2016",0
"Educational level unknown","50-54","2017",0
"Educational level unknown","50-54","2018",0
"Educational level unknown","50-54","2019",0
"Educational level unknown","50-54","2020",0
"Educational level unknown","50-54","2021",1
"Educational level unknown","50-54","2022",0
"Educational level unknown","50-54","2023",0
"Educational level unknown","50-54","2024",0
"Educational level unknown","55-59","1992",0
"Educational level unknown","55-59","1993",0
"Educational level unknown","55-59","1994",0
"Educational level unknown","55-59","1995",1
"Educational level unknown","55-59","1996",0
"Educational level unknown","55-59","1997",3
"Educational level unknown","55-59","1998",5
"Educational level unknown","55-59","1999",1
"Educational level unknown","55-59","2000",0
"Educational level unknown","55-59","2001",0
"Educational level unknown","55-59","2002",0
"Educational level unknown","55-59","2003",1
"Educational level unknown","55-59","2004",0
"Educational level unknown","55-59","2005",2
"Educational level unknown","55-59","2006",0
"Educational level unknown","55-59","2007",0
"Educational level unknown","55-59","2008",0
"Educational level unknown","55-59","2009",1
"Educational level unknown","55-59","2010",0
"Educational level unknown","55-59","2011",0
"Educational level unknown","55-59","2012",0
"Educational level unknown","55-59","2013",1
"Educational level unknown","55-59","2014",0
"Educational level unknown","55-59","2015",0
"Educational level unknown","55-59","2016",0
"Educational level unknown","55-59","2017",0
"Educational level unknown","55-59","2018",0
"Educational level unknown","55-59","2019",0
"Educational level unknown","55-59","2020",0
"Educational level unknown","55-59","2021",0
"Educational level unknown","55-59","2022",0
"Educational level unknown","55-59","2023",0
"Educational level unknown","55-59","2024",0
"Educational level unknown","60-64","1992",0
"Educational level unknown","60-64","1993",0
"Educational level unknown","60-64","1994",1
"Educational level unknown","60-64","1995",0
"Educational level unknown","60-64","1996",0
"Educational level unknown","60-64","1997",1
"Educational level unknown","60-64","1998",1
"Educational level unknown","60-64","1999",0
"Educational level unknown","60-64","2000",0
"Educational level unknown","60-64","2001",2
"Educational level unknown","60-64","2002",0
"Educational level unknown","60-64","2003",1
"Educational level unknown","60-64","2004",0
"Educational level unknown","60-64","2005",0
"Educational level unknown","60-64","2006",0
"Educational level unknown","60-64","2007",0
"Educational level unknown","60-64","2008",1
"Educational level unknown","60-64","2009",0
"Educational level unknown","60-64","2010",0
"Educational level unknown","60-64","2011",1
"Educational level unknown","60-64","2012",0
"Educational level unknown","60-64","2013",0
"Educational level unknown","60-64","2014",0
"Educational level unknown","60-64","2015",0
"Educational level unknown","60-64","2016",0
"Educational level unknown","60-64","2017",0
"Educational level unknown","60-64","2018",0
"Educational level unknown","60-64","2019",0
"Educational level unknown","60-64","2020",0
"Educational level unknown","60-64","2021",0
"Educational level unknown","60-64","2022",0
"Educational level unknown","60-64","2023",0
"Educational level unknown","60-64","2024",0
"Educational level unknown","65+","1992",0
"Educational level unknown","65+","1993",0
"Educational level unknown","65+","1994",0
"Educational level unknown","65+","1995",0
"Educational level unknown","65+","1996",0
"Educational level unknown","65+","1997",0
"Educational level unknown","65+","1998",1
"Educational level unknown","65+","1999",0
"Educational level unknown","65+","2000",0
"Educational level unknown","65+","2001",0
"Educational level unknown","65+","2002",0
"Educational level unknown","65+","2003",0
"Educational level unknown","65+","2004",1
"Educational level unknown","65+","2005",0
"Educational level unknown","65+","2006",0
"Educational level unknown","65+","2007",0
"Educational level unknown","65+","2008",0
"Educational level unknown","65+","2009",0
"Educational level unknown","65+","2010",0
"Educational level unknown","65+","2011",0
"Educational level unknown","65+","2012",0
"Educational level unknown","65+","2013",0
"Educational level unknown","65+","2014",0
"Educational level unknown","65+","2015",0
"Educational level unknown","65+","2016",0
"Educational level unknown","65+","2017",0
"Educational level unknown","65+","2018",0
"Educational level unknown","65+","2019",0
"Educational level unknown","65+","2020",0
"Educational level unknown","65+","2021",0
"Educational level unknown","65+","2022",0
"Educational level unknown","65+","2023",0
"Educational level unknown","65+","2024",0
"Educational level unknown","Age unknown","1992",474
"Educational level unknown","Age unknown","1993",434
"Educational level unknown","Age unknown","1994",478
"Educational level unknown","Age unknown","1995",493
"Educational level unknown","Age unknown","1996",591
"Educational level unknown","Age unknown","1997",525
"Educational level unknown","Age unknown","1998",529
"Educational level unknown","Age unknown","1999",711
"Educational level unknown","Age unknown","2000",956
"Educational level unknown","Age unknown","2001",889
"Educational level unknown","Age unknown","2002",929
"Educational level unknown","Age unknown","2003",889
"Educational level unknown","Age unknown","2004",830
"Educational level unknown","Age unknown","2005",822
"Educational level unknown","Age unknown","2006",717
"Educational level unknown","Age unknown","2007",665
"Educational level unknown","Age unknown","2008",648
"Educational level unknown","Age unknown","2009",581
"Educational level unknown","Age unknown","2010",520
"Educational level unknown","Age unknown","2011",528
"Educational level unknown","Age unknown","2012",434
"Educational level unknown","Age unknown","2013",441
"Educational level unknown","Age unknown","2014",408
"Educational level unknown","Age unknown","2015",377
"Educational level unknown","Age unknown","2016",359
"Educational level unknown","Age unknown","2017",337
"Educational level unknown","Age unknown","2018",312
"Educational level unknown","Age unknown","2019",310
"Educational level unknown","Age unknown","2020",298
"Educational level unknown","Age unknown","2021",287
"Educational level unknown","Age unknown","2022",288
"Educational level unknown","Age unknown","2023",279
"Educational level unknown","Age unknown","2024",217
"Educational level unknown","Average age","1992",27.4
"Educational level unknown","Average age","1993",27.8
"Educational level unknown","Average age","1994",27.9
"Educational level unknown","Average age","1995",28.7
"Educational level unknown","Average age","1996",28.1
"Educational level unknown","Average age","1997",29.6
"Educational level unknown","Average age","1998",30.3
"Educational level unknown","Average age","1999",30.5
"Educational level unknown","Average age","2000",29.8
"Educational level unknown","Average age","2001",30.5
"Educational level unknown","Average age","2002",31.0
"Educational level unknown","Average age","2003",31.4
"Educational level unknown","Average age","2004",31.5
"Educational level unknown","Average age","2005",31.1
"Educational level unknown","Average age","2006",30.5
"Educational level unknown","Average age","2007",30.1
"Educational level unknown","Average age","2008",31.7
"Educational level unknown","Average age","2009",34.3
"Educational level unknown","Average age","2010",33.3
"Educational level unknown","Average age","2011",33.2
"Educational level unknown","Average age","2012",32.8
"Educational level unknown","Average age","2013",31.7
"Educational level unknown","Average age","2014",35.3
"Educational level unknown","Average age","2015",33.5
"Educational level unknown","Average age","2016",31.9
"Educational level unknown","Average age","2017",32.4
"Educational level unknown","Average age","2018",34.1
"Educational level unknown","Average age","2019",31.2
"Educational level unknown","Average age","2020",32.8
"Educational level unknown","Average age","2021",34.5
"Educational level unknown","Average age","2022",33.6
"Educational level unknown","Average age","2023",34.2
"Educational level unknown","Average age","2024",34.5
